宁夏回族自治区;Ningxia, China, ;|1257801
马鞍山市;Ma'anshan, Anhui, China, ;|2127873
六安市;Lu'an (六安市), Anhui, China, ;|2127872
宣城市;Xuancheng (宣城市), Anhui, China, ;|2127882
宿州市;Suzhou (宿州市), Anhui, China, ;|2127874
铜陵市;Tongling (铜陵市), Anhui, China, ;|2127374
芜湖市;Wuhu, Anhui, China, ;|2127875
亳州市;Bozhou (亳州市), Anhui, China, ;|2127876
蚌埠市;Bengbu (蚌埠市), Anhui, China, ;|2127869
安庆市;Anqing, Anhui, China, ;|2127868
滁州市;Chuzhou (滁州市), Anhui, China, ;|2126270
巢湖市;Chaohu (巢湖市), Anhui, China, ;|2126230
阜阳市;Fuyang, Anhui, China, ;|2127870
池州市;Chizhou, Anhui, China, ;|2619821
合肥市;Hefei, Anhui, China, ;|2127866
黄山市;Huangshan (黄山市), Anhui, China, ;|2126620
淮南市;Huainan (淮南市), Anhui, China, ;|2127867
淮北市;Huaibei (淮北市), Anhui, China, ;|2127871
龙岩市;Longyan (龙岩市), Fujian, China, ;|2139971
三明市;Sanming (三明市), Fujian, China, ;|2139966
泉州市;Quanzhou (泉州市), Fujian, China, ;|2139965
厦门市;Xiamen (厦门市), Fujian, China, ;|2139967
漳州市;Zhangzhou (漳州市), Fujian, China, ;|2139969
莆田市;Putian (莆田市), Fujian, China, ;|2140154
南平市;Nanping (南平市), Fujian, China, ;|2139964
宁德市;Ningde, Fujian, China, ;|2619834
福州市;Fuzhou (福州市), Fujian, China, ;|2139963
陇南市;Longnan, Gansu, China, ;|2619812
兰州市;Lanzhou (兰州市), Gansu, China, ;|2145605
天水市;Tianshui (天水市), Gansu, China, ;|2145609
武威市;Wuwei (武威市), Gansu, China, ;|2145610
庆阳市;Qingyang, Gansu, China, ;|2619813
张掖市;Zhangye, Gansu, China, ;|2145618
平凉市;Pingliang (平凉市), Gansu, China, ;|2145615
白银市;Baiyin (白银市), Gansu, China, ;|2145631
定西市;Dingxi, Gansu, China, ;|2619812
甘南藏族自治州;Gannan Zangzu, Gansu, China, ;|2619812
嘉峪关市;Jiayuguan, Gansu, China, ;|2145613
金昌市;Jinchang (金昌市), Gansu, China, ;|2145607
酒泉市;Jiuquan, Gansu, China, ;|2619813
茂名市;Maoming (茂名市), Guangdong, China, ;|2161851
梅州市;Meizhou (梅州市), Guangdong, China, ;|2161865
清远市;Qingcheng, Guangdong, China, ;|2161867
